time stamp,Domain tested,percent http10, percent http2,percent http1.1,percent http3,percent connection error,time elapsed,tls1.0 enabled,tls1.1 enabled,tls1.2 enabled,tls1.3 enabled,cloudflare,cloudflare ipv4,cloudflare ipv6,fastlyprobe,fastlyprobe ipv4,fastlyprobe ipv6,Stackpath enabled,dualstack,total ipv4,total ipv6,dns_any enabled,Digicert Certificate Usage,Comodo Certificate Usage,Let's Encrypt Usage
1/13/2022 18:58,705,0.00%,79.15%,98.30%,14.47%,1.56%,296.37s,46.38%,50.07%,95.46%,62.27%,14.61%,4.54%,10.07%,6.95%,5.53%,1.42%,0.14%,25.82%,100.00%,25.82%,68.37%,29.22%,0.43%,8.37%
1/14/2022 1:03,705,0.00%,79.01%,98.30%,14.61%,1.70%,293.87s,46.10%,50.35%,95.74%,61.84%,14.61%,4.54%,10.07%,6.95%,5.53%,1.42%,0.14%,25.67%,100.00%,25.67%,68.65%,29.36%,0.43%,8.37%
1/14/2022 7:08,705,0.00%,79.15%,98.16%,14.61%,1.84%,295.32s,46.10%,49.93%,95.46%,62.13%,14.61%,4.54%,10.07%,6.95%,5.53%,1.42%,0.14%,25.67%,100.00%,25.67%,68.94%,29.36%,0.43%,8.37%
1/14/2022 13:13,705,0.00%,79.43%,98.44%,14.61%,1.84%,296.35s,46.38%,50.07%,95.74%,61.99%,14.61%,4.54%,10.07%,6.95%,5.53%,1.42%,0.14%,25.67%,100.00%,25.67%,68.51%,29.36%,0.43%,8.37%
1/14/2022 19:18,705,0.00%,79.29%,98.44%,14.47%,1.28%,294.80s,46.38%,50.35%,95.46%,62.13%,14.61%,4.54%,10.07%,6.95%,5.53%,1.42%,0.14%,25.67%,100.00%,25.67%,68.65%,29.22%,0.43%,8.37%
1/15/2022 1:23,705,0.00%,79.29%,98.30%,14.47%,1.28%,292.63s,46.38%,50.07%,95.74%,61.84%,14.61%,4.54%,10.07%,6.95%,5.53%,1.42%,0.14%,25.53%,100.00%,25.53%,68.79%,29.22%,0.43%,8.37%
1/15/2022 7:28,705,0.00%,79.01%,98.30%,14.47%,1.99%,307.40s,46.24%,49.79%,95.46%,61.84%,14.61%,4.54%,10.07%,6.95%,5.53%,1.42%,0.14%,25.53%,100.00%,25.53%,68.94%,29.22%,0.43%,8.37%
1/15/2022 13:33,705,0.00%,79.15%,97.45%,14.47%,2.84%,300.92s,45.39%,49.36%,94.89%,61.56%,14.61%,4.54%,10.07%,6.95%,5.53%,1.42%,0.14%,25.53%,100.00%,25.53%,69.22%,29.22%,0.43%,8.37%
1/15/2022 19:38,705,0.00%,79.29%,98.30%,14.61%,1.42%,298.78s,46.10%,49.65%,95.32%,61.84%,14.61%,4.54%,10.07%,6.95%,5.53%,1.42%,0.14%,25.67%,100.00%,25.67%,68.51%,29.36%,0.43%,8.37%
1/16/2022 1:43,705,0.00%,79.29%,98.30%,14.47%,1.56%,296.60s,46.10%,49.93%,95.32%,61.99%,14.61%,4.54%,10.07%,6.95%,5.53%,1.42%,0.14%,25.67%,100.00%,25.67%,68.79%,29.36%,0.43%,8.37%
1/16/2022 7:48,705,0.00%,79.15%,98.44%,14.47%,1.56%,294.38s,46.10%,50.35%,95.32%,61.84%,14.61%,4.54%,10.07%,6.95%,5.53%,1.42%,0.14%,25.53%,100.00%,25.53%,68.23%,29.36%,0.43%,8.23%
1/16/2022 13:53,705,0.00%,79.15%,97.73%,14.47%,1.99%,299.81s,45.96%,49.50%,95.04%,61.84%,14.61%,4.54%,10.07%,6.95%,5.53%,1.42%,0.14%,25.53%,100.00%,25.53%,68.37%,29.08%,0.43%,8.37%
1/16/2022 19:58,705,0.00%,79.15%,98.44%,14.75%,1.28%,292.28s,46.10%,49.93%,95.74%,61.84%,14.61%,4.54%,10.07%,6.95%,5.53%,1.42%,0.14%,25.67%,100.00%,25.67%,68.65%,29.36%,0.43%,8.37%
1/17/2022 2:03,705,0.00%,79.01%,98.30%,14.61%,1.56%,292.53s,45.82%,49.65%,95.32%,62.13%,14.61%,4.54%,10.07%,6.95%,5.53%,1.42%,0.14%,25.53%,100.00%,25.53%,68.65%,29.22%,0.43%,8.37%
1/17/2022 8:08,705,0.00%,79.01%,98.30%,14.47%,1.70%,312.21s,46.24%,49.93%,95.32%,61.42%,14.47%,4.40%,10.07%,6.95%,5.53%,1.42%,0.14%,25.53%,100.00%,25.53%,68.79%,29.22%,0.43%,8.37%
1/17/2022 14:13,705,0.00%,79.29%,98.58%,14.47%,1.56%,298.98s,46.38%,50.07%,95.46%,61.84%,14.61%,4.54%,10.07%,6.95%,5.53%,1.42%,0.14%,25.53%,100.00%,25.53%,68.65%,29.36%,0.43%,8.51%
1/17/2022 20:18,705,0.00%,79.29%,98.58%,14.61%,1.28%,294.67s,46.10%,49.93%,95.60%,62.27%,14.61%,4.54%,10.07%,6.95%,5.53%,1.42%,0.14%,25.82%,100.00%,25.82%,68.65%,29.22%,0.43%,8.51%
1/18/2022 2:23,705,0.00%,78.87%,98.58%,14.61%,1.28%,296.01s,46.38%,50.21%,95.74%,61.99%,14.61%,4.54%,10.07%,6.95%,5.53%,1.42%,0.14%,25.53%,100.00%,25.53%,68.94%,29.22%,0.43%,8.51%
1/18/2022 8:28,705,0.00%,79.01%,98.44%,14.61%,1.42%,293.53s,46.10%,50.07%,95.46%,62.41%,14.47%,4.40%,10.07%,6.95%,5.53%,1.42%,0.14%,25.67%,99.86%,25.67%,68.94%,29.08%,0.43%,8.51%
1/18/2022 14:33,705,0.00%,79.01%,98.58%,14.47%,1.42%,295.06s,45.67%,49.65%,95.04%,61.99%,14.47%,4.40%,10.07%,6.95%,5.53%,1.42%,0.14%,25.53%,100.00%,25.53%,68.94%,29.36%,0.43%,8.51%
1/18/2022 20:38,705,0.00%,79.15%,98.44%,14.47%,1.84%,292.47s,46.38%,49.93%,95.60%,61.70%,14.47%,4.40%,10.07%,6.95%,5.53%,1.42%,0.14%,25.53%,100.00%,25.53%,68.23%,29.36%,0.43%,8.51%
1/19/2022 2:43,705,0.00%,79.29%,98.58%,14.47%,1.28%,289.61s,46.52%,50.07%,95.60%,62.27%,14.47%,4.40%,10.07%,6.95%,5.53%,1.42%,0.14%,25.53%,100.00%,25.53%,68.23%,29.36%,0.43%,8.51%
1/19/2022 8:48,705,0.00%,79.15%,98.44%,14.47%,1.28%,294.66s,46.24%,49.93%,95.46%,62.41%,14.47%,4.40%,10.07%,6.95%,5.53%,1.42%,0.14%,25.53%,100.00%,25.53%,68.37%,29.36%,0.43%,8.51%
1/19/2022 14:53,705,0.00%,79.15%,98.30%,14.47%,1.99%,295.58s,45.82%,49.79%,95.32%,61.99%,14.47%,4.40%,10.07%,6.95%,5.53%,1.42%,0.14%,25.53%,100.00%,25.53%,68.79%,29.36%,0.43%,8.51%
1/19/2022 20:58,705,0.00%,79.15%,98.44%,14.47%,1.42%,293.18s,46.38%,50.21%,95.60%,62.27%,14.47%,4.40%,10.07%,6.95%,5.53%,1.42%,0.14%,25.67%,100.00%,25.67%,68.23%,29.22%,0.43%,8.51%
1/20/2022 3:03,705,0.00%,79.01%,98.16%,14.61%,1.84%,301.56s,45.96%,49.79%,95.04%,61.70%,14.47%,4.40%,10.07%,6.95%,5.53%,1.42%,0.14%,25.53%,100.00%,25.53%,69.08%,29.22%,0.43%,8.51%
1/20/2022 9:08,705,0.00%,79.29%,98.16%,14.47%,2.13%,301.87s,45.39%,49.79%,94.75%,61.70%,14.47%,4.40%,10.07%,6.95%,5.53%,1.42%,0.14%,25.53%,100.00%,25.53%,68.94%,29.08%,0.43%,8.51%
1/20/2022 15:13,705,0.00%,78.87%,98.16%,14.47%,1.84%,306.15s,45.96%,50.21%,95.32%,61.99%,14.47%,4.40%,10.07%,6.95%,5.53%,1.42%,0.14%,25.53%,100.00%,25.53%,68.37%,29.22%,0.43%,8.51%
1/20/2022 21:18,705,0.00%,79.01%,98.58%,14.47%,1.84%,297.70s,46.52%,50.21%,95.60%,62.13%,14.33%,4.26%,10.07%,6.95%,5.53%,1.42%,0.14%,25.53%,100.00%,25.53%,68.94%,29.22%,0.43%,8.51%
1/21/2022 3:23,705,0.00%,79.29%,98.44%,14.33%,1.84%,294.73s,46.24%,50.07%,95.32%,61.99%,14.33%,4.26%,10.07%,6.95%,5.53%,1.42%,0.14%,25.67%,100.00%,25.67%,68.79%,29.22%,0.43%,8.51%
